1. Mose 1:1|Am Anfang schuf Gott Himmel und Erde.
Sprüche 29:25|Menschenfurcht bringt zu Fall; wer sich aber auf den HERRN verläßt, wird beschützt.
Sprüche 31:30|Lieblich und schön sein ist nichts; ein Weib, das den HERRN fürchtet, soll man loben.
Prediger 3:1|Ein jegliches hat seine Zeit, und alles Vorhaben unter dem Himmel hat seine Stunde.
Prediger 3:11|Er hat alles schön gemacht zu seiner Zeit, auch hat er die Ewigkeit in ihr Herz gelegt.
Prediger 7:8|Das Ende einer Sache ist besser als ihr Anfang.
Prediger 12:1|Gedenke an deinen Schöpfer in deiner Jugend, ehe denn die bösen Tage kommen.
Prediger 12:13|Laßt uns die Hauptsumme aller Lehre hören: Fürchte Gott und halte seine Gebote; denn das gilt für alle Menschen.
Hohelied 2:4|Er führt mich in den Weinkeller, und die Liebe ist sein Zeichen über mir.
Hohelied 8:7|Viele Wasser können die Liebe nicht auslöschen noch die Ströme sie ertränken.
Jesaja 6:8|Und ich hörte die Stimme des Herrn, wie er sprach: Wen soll ich senden? Wer will unser Bote sein? Ich aber sprach: Hier bin ich, sende mich!
Jesaja 7:14|Siehe, eine Jungfrau ist schwanger und wird einen Sohn gebären, den wird sie nennen Immanuel.
Jesaja 9:5|Denn uns ist ein Kind geboren, ein Sohn ist uns gegeben, und die Herrschaft ist auf seiner Schulter.
Jesaja 12:2|Siehe, Gott ist mein Heil, ich bin sicher und fürchte mich nicht; denn Gott der HERR ist meine Stärke und mein Psalm und ist mein Heil.
Jesaja 26:3|Wer festen Herzens ist, dem bewahrst du Frieden; denn er verläßt sich auf dich.
Jesaja 26:4|Darum verlasset euch auf den HERRN immerdar; denn Gott der HERR ist ein Fels ewiglich.
Jesaja 40:8|Das Gras verdorrt, die Blume verwelkt, aber das Wort unsres Gottes bleibt ewiglich.
Jesaja 40:28|Weißt du nicht? Hast du nicht gehört? Der HERR, der ewige Gott, der die Enden der Erde geschaffen hat, wird nicht müde noch matt, sein Verstand ist unausforschlich.
Jesaja 40:29|Er gibt dem Müden Kraft, und Stärke genug dem Unvermögenden.
Jesaja 40:31|Die aber auf den HERRN harren, kriegen neue Kraft, daß sie auffahren mit Flügeln wie Adler, daß sie laufen und nicht matt werden, daß sie wandeln und nicht müde werden.
Jesaja 41:10|Fürchte dich nicht, ich bin mit dir; weiche nicht, denn ich bin dein Gott. Ich stärke dich, ich helfe dir auch, ich halte dich durch die rechte Hand meiner Gerechtigkeit.
Jesaja 41:13|Denn ich bin der HERR, dein Gott, der deine rechte Hand faßt und zu dir spricht: Fürchte dich nicht, ich helfe dir!
Jesaja 43:1|Fürchte dich nicht, denn ich habe dich erlöst; ich habe dich bei deinem Namen gerufen; du bist mein!
Jesaja 43:2|Wenn du durch Wasser gehst, will ich bei dir sein, daß dich die Ströme nicht ersäufen sollen; und wenn du ins Feuer gehst, sollst du nicht brennen, und die Flamme soll dich nicht versengen.
Jesaja 43:25|Ich, ich tilge deine Übertretungen um meinetwillen und gedenke deiner Sünden nicht.
Jesaja 46:4|Auch bis in euer Alter bin ich derselbe, und ich will euch tragen, bis ihr grau werdet. Ich habe es getan; ich will heben und tragen und erretten.
Jesaja 53:5|Aber er ist um unsrer Missetat willen verwundet und um unsrer Sünde willen zerschlagen. Die Strafe liegt auf ihm, auf daß wir Frieden hätten, und durch seine Wunden sind wir geheilt.
Jesaja 53:6|Wir gingen alle in die Irre wie Schafe, ein jeglicher sah auf seinen Weg; aber der HERR warf unser aller Sünde auf ihn.
Jesaja 55:6|Suchet den HERRN, solange er zu finden ist; rufet ihn an, solange er nahe ist.
Jesaja 55:8|Denn meine Gedanken sind nicht eure Gedanken, und eure Wege sind nicht meine Wege, spricht der HERR.
Jesaja 55:9|Sondern soviel der Himmel höher ist als die Erde, so sind auch meine Wege höher als eure Wege und meine Gedanken als eure Gedanken.
Jesaja 58:11|Und der HERR wird dich immerdar führen und dich sättigen in der Dürre und dein Gebein stärken. Und du wirst sein wie ein bewässerter Garten und wie eine Wasserquelle, welcher es nie an Wasser fehlt.
Jesaja 64:7|Aber nun, HERR, du bist doch unser Vater! Wir sind Ton, du bist unser Töpfer, und wir alle sind deiner Hände Werk.
Jeremia 1:5|Ich kannte dich, ehe ich dich im Mutterleibe bereitete, und sonderte dich aus, ehe du von der Mutter geboren wurdest.
Jeremia 1:7|Der HERR sprach aber zu mir: Sage nicht: Ich bin zu jung, sondern du sollst gehen, wohin ich dich sende, und predigen alles, was ich dir gebiete.
Jeremia 1:8|Fürchte dich nicht vor ihnen; denn ich bin bei dir und will dich erretten, spricht der HERR.
Jeremia 17:7|Gesegnet aber ist der Mann, der sich auf den HERRN verläßt und dessen Zuversicht der HERR ist.
Jeremia 29:11|Denn ich weiß wohl, was ich für Gedanken über euch habe, spricht der HERR: Gedanken des Friedens und nicht des Leides, daß ich euch gebe das Ende, des ihr wartet.
Jeremia 29:12|Und ihr werdet mich anrufen und hingehen und mich bitten, und ich will euch erhören.
Jeremia 29:13|Ihr werdet mich suchen und finden; denn wenn ihr mich von ganzem Herzen suchen werdet.
Jeremia 31:3|Der HERR ist mir erschienen von ferne: Ich habe dich je und je geliebt, darum habe ich dich zu mir gezogen aus lauter Güte.
Jeremia 33:3|Rufe mich an, so will ich dir antworten und will dir kundtun große und unfaßbare Dinge, von denen du nichts weißt.
Klagelieder 3:22|Die Güte des HERRN ist's, daß wir nicht gar aus sind, seine Barmherzigkeit hat noch kein Ende.
Klagelieder 3:23|Sie ist alle Morgen neu, und deine Treue ist groß.
Klagelieder 3:25|Denn der HERR ist freundlich dem, der auf ihn harret, und dem Menschen, der nach ihm fragt.
Hesekiel 36:26|Und ich will euch ein neues Herz und einen neuen Geist in euch geben und will das steinerne Herz aus eurem Fleische wegnehmen und euch ein fleischernes Herz geben.
Daniel 2:20|Gelobt sei der Name Gottes von Ewigkeit zu Ewigkeit, denn ihm gehören Weisheit und Stärke!
Daniel 3:17|Siehe, unser Gott, den wir verehren, kann uns erretten aus dem brennenden Feuerofen, und er wird uns erretten aus deiner Hand, o König.
Daniel 6:27|Er ist ein Retter und Nothelfer, und er tut Zeichen und Wunder im Himmel und auf Erden. Er hat Daniel von den Löwen errettet.
Hosea 6:3|Laßt uns darauf achthaben und danach trachten, den HERRN zu erkennen; denn er wird hervorbrechen wie die schöne Morgenröte.
Joel 3:5|Und es soll geschehen: wer des HERRN Namen anrufen wird, der soll errettet werden.
Amos 5:4|So spricht der HERR zum Hause Israel: Suchet mich, so werdet ihr leben.
Jona 2:3|Und ich rief zu dem HERRN in meiner Angst, und er antwortete mir. Ich schrie aus dem Rachen des Todes, und du hörtest meine Stimme.
Micha 6:8|Es ist dir gesagt, Mensch, was gut ist und was der HERR von dir fordert, nämlich Gottes Wort halten und Liebe üben und demütig sein vor deinem Gott.
Micha 7:7|Ich aber will auf den HERRN schauen und harren auf den Gott meines Heils; mein Gott wird mich erhören.
Nahum 1:7|Der HERR ist gütig und eine Feste zur Zeit der Not und kennt, die auf ihn trauen.
Habakuk 2:14|Denn die Erde wird voll werden von Erkenntnis der Ehre des HERRN, wie Wasser das Meer bedeckt.
Habakuk 3:19|Der Herr HERR ist meine Kraft und wird meine Füße machen wie Hirschfüße und wird mich über die Höhen führen.
Zephanja 3:17|Denn der HERR, dein Gott, ist bei dir, ein starker Heiland. Er wird sich über dich freuen und dir freundlich sein, er wird dir vergeben in seiner Liebe und wird über dich mit Jauchzen fröhlich sein.
